0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9.905838,0.7830508,3.1243296,3.016592,5.2899446,6.8198633,6.1672177,5.122745,4.894114,3.8178225,3.3497632,8.848629,3.6405692,5.576405,7.5301504
1.7799981,2.0212867,6.5940933,3.284699,3.3308806,6.68744,7.618969,5.000133,4.253663,3.8136587,2.1623833,5.633127,3.443777,7.5522733,7.1655145
9.135877,1.990053,5.1099844,3.4851592,3.9011128,7.0027018,6.2611713,3.5276995,4.842572,3.6637259,3.6874871,5.4713182,3.9508948,5.832921,9.058206
9.693782,2.2118406,7.7991576,2.1336868,5.3025236,6.7740817,6.6313744,4.947585,7.464472,3.885554,3.5715525,5.786284,3.1967692,6.9651127,7.504028
9.07641,2.019893,4.619684,2.2027965,3.3774908,6.8600936,6.1120253,3.5362577,4.819441,3.7331374,3.4154136,5.4532537,3.379615,5.8308954,8.4638405
9.020965,2.1890948,4.6096544,1.8964297,4.080918,6.5815587,6.3258233,5.038885,4.83583,3.8103287,3.2944608,5.483764,3.5561633,5.580207,7.391896
9.071647,2.037776,4.6073985,1.7407818,9.067885,7.927965,6.9909434,4.5515847,4.912572,4.127451,2.5135992,5.334167,4.2358766,5.5596375,5.0332665
9.866127,1.0289044,3.5634022,2.9760003,5.3100843,6.793206,6.395899,5.067036,4.9481287,3.8374383,3.3139899,8.612236,3.6665914,5.046651,7.6132073
9.935313,0.7059582,3.0914116,3.0402086,5.3114223,6.877509,6.046796,5.121898,4.906668,3.8241153,3.4400191,7.32678,3.505264,5.7766986,7.5359244
9.033185,2.0964057,4.4262676,0.9277942,8.088186,7.4679117,6.810163,5.669304,4.945338,3.444577,5.322764,5.6564593,3.3198404,5.295731,9.004884
9.015242,2.023923,4.893756,3.1973758,4.704255,7.1036754,6.3037653,3.516439,4.803286,3.921914,3.3962715,5.4923677,3.829619,5.7697396,8.497271
9.757554,2.0122828,8.595197,1.4382753,5.372643,7.171225,4.7011833,5.0500255,2.5987976,3.8107069,3.5071497,5.3513594,3.4267607,6.2131376,7.51186
