0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9.543415,6.036243,4.3070536,7.5145845,3.9686794,8.712867,4.917347,5.704731,6.0168476,5.1385584,7.3405943,5.5061684,6.606489,3.4113963,4.166119
9.302092,7.078877,4.5064864,4.7763095,6.7769,4.407467,5.0934095,5.9878907,5.639762,5.2994833,5.862584,5.523738,5.1081696,6.708736,4.2547045
9.214049,7.7344475,5.0093083,5.5092764,6.805666,8.992548,4.8859406,6.916456,5.130612,5.5099034,4.8865805,5.3371005,4.791078,5.9721127,3.5291796
9.600381,5.7019305,4.082697,7.4564385,3.338586,8.629469,4.758629,6.40876,5.745568,5.2319417,6.6844583,5.3287787,5.544099,4.5619974,4.1685596
9.351782,7.22757,4.981766,6.6733027,6.9687734,9.143732,5.306593,4.8159957,5.8275657,5.3455815,4.358884,6.1990314,5.209837,7.785871,4.2017746
2.8477824,4.1405196,5.521488,6.2553678,7.044632,8.602839,1.7711968,5.2510557,7.7574525,4.9503026,1.2233691,1.321165,8.700786,8.939804,2.6163507
9.438777,6.78139,4.778959,7.205539,5.956911,8.986213,5.267272,4.558415,6.1833286,5.1574206,6.3587804,5.868991,5.4139895,7.4006586,4.4305263
9.187009,7.917346,5.077123,5.1878104,7.063537,9.086738,4.7777944,7.7918653,4.8086944,5.5603824,4.2932997,4.91518,4.3391247,3.6666281,4.109803
9.40751,7.2256002,5.0138288,6.740206,6.916755,9.071594,5.2973332,4.9203777,5.8653507,5.289576,4.6614842,5.9896674,5.1291738,6.8473005,4.672156
9.429573,6.81315,4.777111,7.101843,5.974285,8.946714,5.2359657,4.7622395,6.1030793,5.1764665,6.3055844,5.69858,4.903774,7.682777,4.47648
9.235444,7.730029,5.0167475,5.5615187,6.717098,8.927665,4.89231,6.8574357,5.3136306,5.3867574,5.391114,5.195069,4.388099,6.212516,4.378594
9.5168085,6.2887425,4.488219,7.5186496,4.6193223,8.824283,5.066302,5.109435,6.193922,5.0949836,7.463643,5.6858616,6.8177614,3.9471948,4.2474566
8.351903,8.939358,4.0364084,3.2043545,2.2701046,8.783038,4.507746,5.309215,6.056975,5.3916864,6.578619,6.3352156,5.9656553,8.410835,2.8630261
9.161555,7.956643,5.040555,5.0609913,6.84304,9.01314,4.735124,7.86229,4.907117,5.4990087,4.625568,4.9348783,4.4163227,3.8292968,4.374028
